Operation                           Module          Category                      Weight  Notes
random.ranf                         numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.rayleigh                     numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.sample                       numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.seed                         numpy.random    free                               —  Seed random number generator.
random.set_state                    numpy.random    free                               —  Set internal state of generator.
random.shuffle                      numpy.random    counted_custom                0.2558  Shuffle; cost = n*ceil(log2(n)).
random.standard_cauchy              numpy.random    counted_custom               29.1635  Sampling; cost = numel(output).
random.standard_exponential         numpy.random    counted_custom               17.3029  Sampling; cost = numel(output).
random.standard_gamma               numpy.random    counted_custom               17.3029  Sampling; cost = numel(output).
random.standard_normal              numpy.random    counted_custom               14.2622  Sampling; cost = numel(output).
random.standard_t                   numpy.random    counted_custom               45.4818  Sampling; cost = numel(output).
random.triangular                   numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.uniform                      numpy.random    counted_custom                3.1969  Sampling; cost = numel(output).
random.vonmises                     numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.wald                         numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.weibull                      numpy.random    counted_custom                     —  Sampling; cost = numel(output).
random.zipf                         numpy.random    counted_custom                     —  Sampling; cost = numel(output).
ravel                               numpy           free                               —  Return contiguous flattened array.
ravel_multi_index                   numpy           free                               —  Convert multi-dimensional index to flat index.
real                                numpy           counted_unary                      —  Return real part of complex array.
real_if_close                       numpy           counted_unary                      —  Return real array if imaginary part is negligible.
reciprocal                          numpy           counted_unary                 1.0230  Element-wise 1/x.
remainder                           numpy           counted_binary                0.7673  Element-wise remainder (same as mod).
repeat                              numpy           free                               —  Repeat elements of an array.
require                             numpy           free                               —  Return array that satisfies requirements.
reshape                             numpy           free                               —  Reshape array without copying.
resize                              numpy           free                               —  Return new array with given shape by repeating.
result_type                         numpy           free                               —  Return type that results from applying NumPy type ...
right_shift                         numpy           counted_binary                     —  Element-wise right bit shift (legacy name).
rint                                numpy           counted_unary                 0.3837  Round to nearest integer element-wise.
roll                                numpy           free                               —  Roll array elements along axis.
rollaxis                            numpy           free                               —  Roll specified axis backwards.
roots                               mechestim._polynomial counted_custom            68892.4486  Return roots of polynomial with given coefficients...
rot90                               numpy           free                               —  Rotate array 90 degrees.
round                               numpy           counted_unary                      —  Round to given number of decimals element-wise.
row_stack                           numpy           free                               —  Stack arrays vertically (alias for vstack).
save                                numpy           blacklisted                        —  Save array to .npy file. Not supported.
savetxt                             numpy           blacklisted                        —  Save array to text file. Not supported.
savez                               numpy           blacklisted                        —  Save multiple arrays to .npz file. Not supported.
savez_compressed                    numpy           blacklisted                        —  Save multiple arrays to compressed .npz file. Not ...
searchsorted                        numpy           counted_custom               22.8490  Binary search; cost = m*ceil(log2(n)).
select                              numpy           free                               —  Return array from list of choices based on conditi...
setbufsize                          numpy           blacklisted                        —  Set size of buffer used in ufuncs. Not supported.
setdiff1d                           numpy           counted_custom                     —  Set difference; cost = (n+m)*ceil(log2(n+m)).
seterr                              numpy           blacklisted                        —  Set how floating-point errors are handled. Not sup...
seterrcall                          numpy           blacklisted                        —  Set callback function for floating-point errors. N...
setxor1d                            numpy           counted_custom                     —  Symmetric set difference; cost = (n+m)*ceil(log2(n...
shape                               numpy           free                               —  Return shape of array.
shares_memory                       numpy           free                               —  Determine if two arrays share memory.
show_config                         numpy           blacklisted                        —  Show NumPy build configuration. Not supported.
show_runtime                        numpy           blacklisted                        —  Show runtime info. Not supported.
sign                                numpy           counted_unary                 0.3837  Element-wise sign function.
signbit                             numpy           counted_unary                 0.3837  Returns True for elements with negative sign bit.
sin                                 numpy           counted_unary                25.8688  Element-wise sine.
sinc                                numpy           counted_unary                      —  Normalized sinc function element-wise.
sinh                                numpy           counted_unary                21.4825  Element-wise hyperbolic sine.
size                                numpy           free                               —  Return number of elements in array.
sort                                numpy           counted_custom               67.6431  Comparison sort; cost = n*ceil(log2(n)) per slice.
sort_complex                        numpy           counted_unary                      —  Sort complex array by real then imaginary part.
spacing                             numpy           counted_unary                      —  Return ULP spacing for each element.
split                               numpy           free                               —  Split array into sub-arrays.
sqrt                                numpy           counted_unary                 1.0230  Element-wise square root.
square                              numpy           counted_unary                 1.0230  Element-wise x^2.
squeeze                             numpy           free                               —  Remove size-1 dimensions.
stack                               numpy           free                               —  Join arrays along new axis.
std                                 numpy           counted_reduction             2.9411  Standard deviation; cost_multiplier=2 (two passes)...
subtract                            numpy           counted_binary                1.4067  Element-wise subtraction.
sum                                 numpy           counted_reduction             1.0230  Sum of array elements.
swapaxes                            numpy           free                               —  Interchange two axes of an array.
take                                numpy           free                               —  Take elements from array along axis.
take_along_axis                     numpy           free                               —  Take values from input array by matching 1-D index...
tan                                 numpy           counted_unary                38.7451  Element-wise tangent.
tanh                                numpy           counted_unary                21.4825  Element-wise hyperbolic tangent.
tensordot                           numpy           counted_custom                     —  Tensor dot product along specified axes.
tile                                numpy           free                               —  Repeat array by tiling.
trace                               numpy           counted_custom                     —  Diagonal sum; cost = min(n,m).
transpose                           numpy           free                               —  Permute array dimensions.
trapezoid                           numpy           counted_custom                     —  Integrate using the trapezoidal rule.
trapz                               numpy           counted_custom                     —  Alias for trapezoid (deprecated).
tri                                 numpy           free                               —  Array with ones at and below given diagonal.
tril                                numpy           free                               —  Lower triangle of array.
tril_indices                        numpy           free                               —  Return lower-triangle indices for n x n array.
tril_indices_from                   numpy           free                               —  Return lower-triangle indices for given array.
trim_zeros                          numpy           free                               —  Trim leading/trailing zeros from 1-D array.
triu                                numpy           free                               —  Upper triangle of array.
triu_indices                        numpy           free                               —  Return upper-triangle indices for n x n array.
triu_indices_from                   numpy           free                               —  Return upper-triangle indices for given array.
true_divide                         numpy           counted_binary                1.4067  Element-wise true division (explicit).
trunc                               numpy           counted_unary                 0.3837  Truncate toward zero element-wise.
typename                            numpy           free                               —  Return description of given data type code.
union1d                             numpy           counted_custom                     —  Set union; cost = (n+m)*ceil(log2(n+m)).
unique                              numpy           counted_custom               67.6431  Sort-based unique; cost = n*ceil(log2(n)).
unique_all                          numpy           counted_custom                     —  Sort-based unique; cost = n*ceil(log2(n)).
unique_counts                       numpy           counted_custom                     —  Sort-based unique; cost = n*ceil(log2(n)).
unique_inverse                      numpy           counted_custom                     —  Sort-based unique; cost = n*ceil(log2(n)).
unique_values                       numpy           counted_custom                     —  Sort-based unique; cost = n*ceil(log2(n)).
unpackbits                          numpy           free                               —  Unpack elements of array into bits.
unravel_index                       numpy           free                               —  Convert flat index to multi-dimensional index.
unstack                             numpy           free                               —  Unstack array along axis into tuple of arrays (Num...
unwrap                              mechestim._unwrap counted_custom                     —  Phase unwrap. Cost: $\text{numel}(\text{input})$ (...
vander                              numpy           counted_custom                     —  Vandermonde matrix; cost = len(x)*(N-1).
var                                 numpy           counted_reduction             2.9411  Variance; cost_multiplier=2 (two passes).
vdot                                numpy           counted_custom                     —  Dot product with conjugation; cost = 2*N.
vecdot                              numpy           counted_binary                     —  Vector dot product along last axis.
vsplit                              numpy           free                               —  Split array into rows.
vstack                              numpy           free                               —  Stack arrays vertically.
where                               numpy           free                               —  Select elements based on condition.
zeros                               numpy           free                               —  Create zero-filled array.
zeros_like                          numpy           free                               —  Array of zeros with same shape/type as input.

Total registry entries: 482
Entries with weights: 152
Entries without weights: 330
