Operation,Status,Category,Cost Formula,Active Weight,Empirical Weight,Reviewer Weight,Effective Cost Example,Confidence,Notes,Exclusion Reason,Hardware FP Instructions (per analytical FLOP),Timing Weight,Perf/Timing Agreement,Measurement Spread (CV),Benchmark Command,Benchmark Size,Total Perf Instructions,Total Timing (ns),Implementation,Weight Tier,Repeats
less_equal,benchmarked,Pointwise Binary,numel(output),1.0000,0.5745,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5745,,0.60,0.5123,1.9520,0.0027,"np.less_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100304307,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L454,baseline,10
equal,benchmarked,Pointwise Binary,numel(output),1.0000,0.5761,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5761,,0.60,0.5155,1.9399,0.0027,"np.equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100940561,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L439,baseline,10
not_equal,benchmarked,Pointwise Binary,numel(output),1.0000,0.5736,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.5736,,0.60,0.5113,1.9558,0.0033,"np.not_equal(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",100104460,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L461,baseline,10
logical_and,benchmarked,Pointwise Binary,numel(output),1.0000,0.8026,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.8026,,0.60,0.7405,1.3504,0.0031,"np.logical_and(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",144988484,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L457,baseline,10
logical_or,benchmarked,Pointwise Binary,numel(output),1.0000,0.7986,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.7986,,0.60,0.7391,1.3530,0.0034,"np.logical_or(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",144717490,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L458,baseline,10
logical_xor,benchmarked,Pointwise Binary,numel(output),1.0000,0.8007,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=0.8007,,0.60,0.7498,1.3337,0.0031,"np.logical_xor(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",146812920,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L459,baseline,10
copysign,benchmarked,Pointwise Binary,numel(output),1.0000,1.1021,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=1.1021,,0.60,0.7209,1.3872,0.0011,"np.copysign(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",141157127,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L438,baseline,10
nextafter,benchmarked,Pointwise Binary,numel(output),1.0000,5.7999,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=5.7999,,0.60,5.7999,0.1724,0.3715,"np.nextafter(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28214641, 60009654, 60009598]",1135600279,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L460,baseline,10
ldexp,benchmarked,Pointwise Binary,numel(output),1.0000,3.3667,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=3.3667,,0.60,0.0000,N/A,0.0014,"np.ldexp(a, b, out=_out)","a: (10000000,), b: (10000000,)","[28215481, 60010494, 60010438]",,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L451,baseline,10
heaviside,benchmarked,Pointwise Binary,numel(output),1.0000,1.3916,,"1,000 FLOPs (1000 elements)",high,Timing-based (fp_arith_inst_retired blind to comparisons). Ratio vs add=1.3916,,0.30,1.3789,0.7252,0.0015,"np.heaviside(x, 0.5)","x: (10000000,), h=0.5","[14116734, 30009661, 30009620]",269979729,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L448,baseline,10
std,benchmarked,Reductions,numel(input),2.0000,4.0000,,"2,000 FLOPs (1000 elements)",high,Standard deviation; cost_multiplier=2 (two passes).,,4.30,1.6020,1.2484,0.0216,np.std(x),"x: (10000000,)","[414116751, 430009678, 430009637]",313671080,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L533,moderate,10
var,benchmarked,Reductions,numel(input),2.0000,4.0000,,"2,000 FLOPs (1000 elements)",high,Variance; cost_multiplier=2 (two passes).,,4.30,1.6012,1.2491,0.0216,np.var(x),"x: (10000000,)","[414116731, 430009658, 430009617]",313505568,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L534,moderate,10
nanstd,benchmarked,Reductions,numel(input),2.0000,4.0000,,"2,000 FLOPs (1000 elements)",high,Standard deviation ignoring NaNs.,,4.30,3.1232,0.6404,0.0216,np.nanstd(x),"x: (10000000,)","[414116751, 430009678, 430009637]",611516405,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L564,moderate,10
nanvar,benchmarked,Reductions,numel(input),2.0000,4.0000,,"2,000 FLOPs (1000 elements)",high,Variance ignoring NaNs.,,4.30,3.0977,0.6456,0.0216,np.nanvar(x),"x: (10000000,)","[414116731, 430009658, 430009617]",606531077,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L566,moderate,10
sum,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Sum of array elements.,,1.30,0.2440,4.0984,0.0736,np.sum(x),"x: (10000000,)","[114116711, 130009638, 130009597]",47773697,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L528,baseline,10
prod,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Product of array elements.,,1.30,0.6193,1.6147,0.0736,np.prod(x),"x: (10000000,)","[114116711, 130009875, 130009834]",121250152,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L531,baseline,10
mean,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Arithmetic mean of array elements.,,1.30,0.2447,4.0866,0.0736,np.mean(x),"x: (10000000,)","[114116721, 130009648, 130009607]",47907808,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L532,baseline,10
max,benchmarked,Reductions,numel(input),1.0000,1.0010,,"1,000 FLOPs (1000 elements)",medium,Maximum value of array.,,1.30,0.2070,4.8309,0.0735,np.max(x),"x: (10000000,)","[114214381, 130107308, 130107267]",40537906,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L529,baseline,10
min,benchmarked,Reductions,numel(input),1.0000,1.0010,,"1,000 FLOPs (1000 elements)",medium,Minimum value of array.,,1.30,0.2073,4.8239,0.0735,np.min(x),"x: (10000000,)","[114214381, 130107308, 130107267]",40586751,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L530,baseline,10
argmax,benchmarked,Reductions,numel(input),1.0000,0.2320,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=0.2320,,0.30,0.2320,4.3103,0.3713,np.argmax(x),"x: (10000000,)","[14116711, 30009638, 30009597]",45416961,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L535,baseline,10
argmin,benchmarked,Reductions,numel(input),1.0000,0.2313,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=0.2313,,0.30,0.2313,4.3234,0.3713,np.argmin(x),"x: (10000000,)","[14116711, 30009638, 30009597]",45292423,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L536,baseline,10
any,benchmarked,Reductions,numel(input),1.0000,0.2513,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=0.2513,,0.30,0.2513,3.9793,0.3713,np.any(x),"x: (10000000,)","[14116711, 30009638, 30009597]",49205904,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L547,baseline,10
all,benchmarked,Reductions,numel(input),1.0000,0.2525,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=0.2525,,0.30,0.2525,3.9604,0.3713,np.all(x),"x: (10000000,)","[14116711, 30009638, 30009597]",49448065,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L544,baseline,10
cumsum,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum of array elements.,,1.30,1.3315,0.7510,0.0736,"np.cumsum(x, out=_out)","x: (10000000,)","[114116701, 130009628, 130009587]",260710434,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L537,baseline,10
cumprod,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product of array elements.,,1.30,1.3316,0.7510,0.0736,"np.cumprod(x, out=_out)","x: (10000000,)","[114116701, 130009865, 130009824]",260723936,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L538,baseline,10
nansum,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Sum ignoring NaNs.,,1.30,1.4399,0.6945,0.0736,np.nansum(x),"x: (10000000,)","[114116711, 130009638, 130009597]",281922550,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L565,baseline,10
nanmean,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Mean ignoring NaNs.,,1.30,1.8008,0.5553,0.0736,np.nanmean(x),"x: (10000000,)","[114116721, 130009648, 130009607]",352589356,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L558,baseline,10
nanmax,benchmarked,Reductions,numel(input),1.0000,1.0010,,"1,000 FLOPs (1000 elements)",medium,Maximum ignoring NaNs.,,1.30,0.2130,4.6948,0.0735,np.nanmax(x),"x: (10000000,)","[114214381, 130107308, 130107267]",41712910,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L557,baseline,10
nanmin,benchmarked,Reductions,numel(input),1.0000,1.0010,,"1,000 FLOPs (1000 elements)",medium,Minimum ignoring NaNs.,,1.30,0.2122,4.7125,0.0735,np.nanmin(x),"x: (10000000,)","[114214381, 130107308, 130107267]",41553113,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L560,baseline,10
nanprod,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Product ignoring NaNs.,,1.30,1.8246,0.5481,0.0736,np.nanprod(x),"x: (10000000,)","[114116711, 130009875, 130009834]",357257013,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L562,baseline,10
median,benchmarked,Reductions,numel(input),1.0000,5.3855,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=5.3855,,0.30,5.3855,0.1857,0.3713,np.median(x),"x: (10000000,)","[14117754, 30010681, 30010640]",1054477424,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L552,baseline,10
nanmedian,benchmarked,Reductions,numel(input),1.0000,5.7796,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=5.7796,,0.30,5.7796,0.1730,0.3713,np.nanmedian(x),"x: (10000000,)","[14117754, 30010681, 30010640]",1131629455,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L559,baseline,10
percentile,benchmarked,Reductions,numel(input),1.0000,6.5693,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=6.5693,,0.30,6.5693,0.1522,0.3713,"np.percentile(x, 50)","x: (10000000,)","[14117371, 30010298, 30010257]",1286250757,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L567,baseline,10
nanpercentile,benchmarked,Reductions,numel(input),1.0000,6.9821,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=6.9821,,0.30,6.9821,0.1432,0.3713,"np.nanpercentile(x, 50)","x: (10000000,)","[14117371, 30010298, 30010257]",1367086667,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L561,baseline,10
quantile,benchmarked,Reductions,numel(input),1.0000,6.5837,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=6.5837,,0.30,6.5837,0.1519,0.3713,"np.quantile(x, 0.5)","x: (10000000,)","[14117384, 30010311, 30010270]",1289068257,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L568,baseline,10
nanquantile,benchmarked,Reductions,numel(input),1.0000,6.9870,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=6.9870,,0.30,6.9870,0.1431,0.3713,"np.nanquantile(x, 0.5)","x: (10000000,)","[14117384, 30010311, 30010270]",1368029249,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L563,baseline,10
count_nonzero,benchmarked,Reductions,numel(input),1.0000,0.7773,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=0.7773,,0.30,0.7773,1.2865,0.3713,np.count_nonzero(x),"x: (10000000,)","[14116711, 30009638, 30009597]",152201477,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L549,baseline,10
average,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Weighted average of array elements.,,1.30,0.2450,4.0816,0.0736,np.average(x),"x: (10000000,)","[114116731, 130009658, 130009617]",47963189,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L548,baseline,10
nanargmax,benchmarked,Reductions,numel(input),1.0000,1.4897,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=1.4897,,0.30,1.4897,0.6713,0.3713,np.nanargmax(x),"x: (10000000,)","[14116711, 30009638, 30009597]",291681598,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L553,baseline,10
nanargmin,benchmarked,Reductions,numel(input),1.0000,1.4777,,"1,000 FLOPs (1000 elements)",low,Timing-based weight (fp_arith_inst_retired blind to this op). Ratio vs add=1.4777,,0.30,1.4777,0.6767,0.3713,np.nanargmin(x),"x: (10000000,)","[14116711, 30009638, 30009597]",289322396,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L554,baseline,10
ptp,benchmarked,Reductions,numel(input),1.0000,2.0020,,"1,000 FLOPs (1000 elements)",high,Peak-to-peak (max - min) range of array.,,2.30,0.3969,2.5195,0.0408,np.ptp(x),"x: (10000000,)","[214312061, 230204988, 230204947]",77708606,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L581,baseline,10
nancumprod,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product ignoring NaNs.,,1.30,2.5619,0.3903,0.0736,"np.nancumprod(x, out=_out)","x: (10000000,)","[114116701, 130009865, 130009824]",501619878,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L555,baseline,10
nancumsum,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum ignoring NaNs.,,1.30,2.5711,0.3889,0.0736,"np.nancumsum(x, out=_out)","x: (10000000,)","[114116701, 130009628, 130009587]",503422485,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L556,baseline,10
cumulative_sum,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative sum (NumPy 2.x array API).,,1.30,1.3312,0.7512,0.0736,"np.cumulative_sum(x, out=_out)","x: (10000000,)","[114116701, 130009628, 130009587]",260647988,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L551,baseline,10
cumulative_prod,benchmarked,Reductions,numel(input),1.0000,1.0000,,"1,000 FLOPs (1000 elements)",medium,Cumulative product (NumPy 2.x array API).,,1.30,1.3317,0.7509,0.0736,"np.cumulative_prod(x, out=_out)","x: (10000000,)","[114116701, 130009865, 130009824]",260737404,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_pointwise.py#L550,baseline,10
sort,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.0363,,"10,000 FLOPs (1000 elements, C=10000)",medium,Comparison sort; cost = n*ceil(log2(n)) per slice.,,4.04,0.1984,5.0403,0.0548,np.sort(x),"x: (10000000,)","[8800112491, 9687149969, 9698011109]",932432777,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L43,baseline,10
argsort,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.8736,,"10,000 FLOPs (1000 elements, C=10000)",high,Indirect sort; cost = n*ceil(log2(n)) per slice.,,4.87,0.4263,2.3458,0.0381,np.argsort(x),"x: (10000000,)","[10949422051, 11696586249, 11713083429]",2003017675,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L62,baseline,10
lexsort,benchmarked,Sorting,k * n * ceil(log2(n)),1.0000,0.3723,,"10,000 FLOPs (1000 elements, C=10000)",low,Multi-key sort; cost = k*n*ceil(log2(n)).,,0.37,0.0429,23.3100,0.8457,"np.lexsort((x, y))","x: (10000000,), y: (10000000,), k=2","[28214641, 1786878565, 1786878565]",402915554,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L88,baseline,10
partition,benchmarked,Sorting,n,1.0000,4.4268,,"1,000 FLOPs (1000 elements)",medium,Quickselect; cost = n per slice.,,4.43,1.7653,0.5665,0.0947,"np.partition(x, 5000000)","x: (10000000,), kth=5000000","[453953791, 379247516, 442683608]",345650682,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L113,baseline,10
argpartition,benchmarked,Sorting,n * len(kth),1.0000,4.6015,,"1,000 FLOPs (C=1000)",medium,Indirect partition; cost = n per slice.,,4.60,2.7384,0.3652,0.0889,"np.argpartition(x, 5000000)","x: (10000000,), kth=5000000","[449292471, 460154256, 527919708]",536172646,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L140,baseline,10
searchsorted,benchmarked,Sorting,m * ceil(log2(n)),1.0000,0.7445,,"10,000 FLOPs (1000 elements, C=10000)",low,Binary search; cost = m*ceil(log2(n)).,,0.74,0.8573,1.1665,0.3402,"np.searchsorted(x, q)","x: (10000000,), q: (10000000,)","[906814219, 1786878565, 1786878565]",4028499025,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L170,baseline,10
unique,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.0363,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.04,0.2684,3.7258,0.0548,np.unique(x),"x: (10000000,)","[8800112491, 9687149969, 9698011109]",1261458337,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L231,baseline,10
in1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,4.2770,,"10,000 FLOPs (1000 elements, C=10000)",high,Set membership; cost = (n+m)*ceil(log2(n+m)).,,4.28,0.8495,1.1772,0.0459,"np.in1d(a, b)","a: (10000000,), b: (10000000,)","[19741640021, 21385183045, 21412541365]",8316520216,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L317,baseline,10
isin,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,4.2770,,"10,000 FLOPs (1000 elements, C=10000)",high,Set membership; cost = (n+m)*ceil(log2(n+m)).,,4.28,0.8518,1.1740,0.0459,"np.isin(a, b)","a: (10000000,), b: (10000000,)","[19741639801, 21385182825, 21412541145]",8339184342,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L330,baseline,10
intersect1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,7.7863,,"10,000 FLOPs (1000 elements, C=10000)",high,Set intersection; cost = (n+m)*ceil(log2(n+m)).,,7.79,0.4893,2.0437,0.0312,"np.intersect1d(a, b)","a: (10000000,), b: (10000000,)","[36872420621, 38931661325, 38953383605]",4790456196,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L344,baseline,10
setdiff1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,3.8751,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set difference; cost = (n+m)*ceil(log2(n+m)).,,3.88,0.6161,1.6231,0.0551,"np.setdiff1d(a, b)","a: (10000000,), b: (10000000,)","[17592330241, 19375746545, 19397468825]",6031745431,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L376,baseline,10
setxor1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,7.7863,,"10,000 FLOPs (1000 elements, C=10000)",high,Symmetric set difference; cost = (n+m)*ceil(log2(n+m)).,,7.79,0.5430,1.8416,0.0312,"np.setxor1d(a, b)","a: (10000000,), b: (10000000,)","[36872420621, 38931661325, 38953383605]",5316218585,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L393,baseline,10
union1d,benchmarked,Sorting,(n+m) * ceil(log2(n+m)),1.0000,4.2686,,"10,000 FLOPs (1000 elements, C=10000)",medium,Set union; cost = (n+m)*ceil(log2(n+m)).,,4.27,0.3263,3.0647,0.1077,"np.union1d(a, b)","a: (10000000,), b: (10000000,)","[18036303441, 21342793965, 22232929825]",3194255931,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L361,baseline,10
unique_all,benchmarked,Sorting,n * ceil(log2(n)),1.0000,0.3720,,"10,000 FLOPs (1000 elements, C=10000)",low,Sort-based unique; cost = n*ceil(log2(n)).,,0.37,0.5672,1.7630,0.8456,np.unique_all(x),"x: (10000000,)","[14116721, 892716299, 892716299]",2665501291,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L243,baseline,10
unique_counts,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.0363,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.04,0.3764,2.6567,0.0548,np.unique_counts(x),"x: (10000000,)","[8800112501, 9687149979, 9698011119]",1768893671,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L256,baseline,10
unique_inverse,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.8736,,"10,000 FLOPs (1000 elements, C=10000)",high,Sort-based unique; cost = n*ceil(log2(n)).,,4.87,0.7716,1.2960,0.0381,np.unique_inverse(x),"x: (10000000,)","[10949422051, 11696586249, 11713083429]",3625691674,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L272,baseline,10
unique_values,benchmarked,Sorting,n * ceil(log2(n)),1.0000,4.0363,,"10,000 FLOPs (1000 elements, C=10000)",medium,Sort-based unique; cost = n*ceil(log2(n)).,,4.04,0.2693,3.7133,0.0548,np.unique_values(x),"x: (10000000,)","[8800112491, 9687149969, 9698011109]",1265690087,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/_sorting_ops.py#L288,baseline,10
fft.fft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,0.8404,,"10,000 FLOPs (1000 elements, C=10000)",medium,1-D complex FFT. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.84,0.1623,6.1614,0.0562,np.fft.fft(x),"x: (1048576,)","[879517872, 968943262, 881183625]",333239070,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L173,baseline,10
fft.ifft,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,1.3274,,"10,000 FLOPs (1000 elements, C=10000)",high,Inverse 1-D complex FFT. Cost: 5*n*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,1.33,0.1300,7.6923,0.0289,np.fft.ifft(x),"x: (1048576,)","[1388587884, 1460999289, 1391915176]",266861733,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L189,baseline,10
fft.rfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.8288,,"10,000 FLOPs (1000 elements, C=10000)",medium,1-D real FFT. Cost: 5*(n//2)*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.83,0.1387,7.2098,0.1104,np.fft.rfft(x),"x: (1048576,)","[432875462, 522300852, 434541215]",142425342,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L205,baseline,10
fft.irfft,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.9466,,"10,000 FLOPs (1000 elements, C=10000)",high,Inverse 1-D real FFT. Cost: 5*(n//2)*ceil(log2(n)) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).,,0.95,0.1507,6.6357,0.0017,np.fft.irfft(x),"x: (1048576,)","[495237927, 496903680, 496284085]",154652093,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L221,baseline,10
fft.fft2,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,0.7183,,"10,000 FLOPs (1000 elements, C=10000)",medium,"2-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.72,0.0802,12.4688,0.0654,np.fft.fft2(x),"x: (1024,1024)","[751501532, 840926922, 753167285]",164672547,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L242,baseline,10
fft.ifft2,benchmarked,FFT,5*n*ceil(log2(n)),1.0000,0.7693,,"10,000 FLOPs (1000 elements, C=10000)",high,"Inverse 2-D complex FFT. Cost: 5*N*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.77,0.0776,12.8866,0.0493,np.fft.ifft2(x),"x: (1024,1024)","[803317434, 875728839, 806644726]",159394671,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L265,baseline,10
fft.rfft2,benchmarked,FFT,5*(n/2)*ceil(log2(n)),1.0000,0.7013,,"10,000 FLOPs (1000 elements, C=10000)",medium,"2-D real FFT. Cost: 5*(N//2)*ceil(log2(N)), N=prod(s) (Cooley-Tukey radix-2; Van Loan 1992 §1.4).",,0.70,0.0675,14.8148,0.1290,np.fft.rfft2(x),"x: (1024,1024)","[366041252, 455466642, 367707005]",69317534,https://github.com/AIcrowd/flopscope/blob/main/src/flopscope/fft/_transforms.py#L288,baseline,10
